state,age_group,asfr
NSW,15-19,6.0
NSW,20-24,33.1
NSW,25-29,76.9
NSW,30-34,111.4
NSW,35-39,70.5
NSW,40-44,16.6
NSW,45-49,1.3
VIC,15-19,3.7
VIC,20-24,23.3
VIC,25-29,67.2
VIC,30-34,110.8
VIC,35-39,72.9
VIC,40-44,17.2
VIC,45-49,1.6
QLD,15-19,8.9
QLD,20-24,45.1
QLD,25-29,86.1
QLD,30-34,104.1
QLD,35-39,59.5
QLD,40-44,13.3
QLD,45-49,0.9
SA,15-19,5.4
SA,20-24,31.0
SA,25-29,80.8
SA,30-34,111.2
SA,35-39,62.5
SA,40-44,14.3
SA,45-49,1.1
WA,15-19,7.4
WA,20-24,36.5
WA,25-29,79.3
WA,30-34,107.8
WA,35-39,63.2
WA,40-44,13.9
WA,45-49,1.1
TAS,15-19,7.9
TAS,20-24,46.4
TAS,25-29,84.1
TAS,30-34,96.9
TAS,35-39,53.4
TAS,40-44,11.2
TAS,45-49,0.8
NT,15-19,24.6
NT,20-24,65.9
NT,25-29,77.6
NT,30-34,88.8
NT,35-39,55.8
NT,40-44,14.7
NT,45-49,1.3
ACT,15-19,2.4
ACT,20-24,15.1
ACT,25-29,57.8
ACT,30-34,106.2
ACT,35-39,69.6
ACT,40-44,15.2
ACT,45-49,1.2
Australia,15-19,6.3
Australia,20-24,33.4
Australia,25-29,76.4
Australia,30-34,108.7
Australia,35-39,67.1
Australia,40-44,15.5
Australia,45-49,1.2
